gene,SYMBOL,GENENAME
AT1G04020,ATBARD1|BARD1|ROW1,"Encodes a protein containing two tandem BRCA1 C-Terminal (BRCT) domains, which function in phosphorylation-dependent proteinprotein interactions.Loss of function mutations cause defects in meristem organization due to failure to repress WUS. BARD1 binds to WUS promoter and over expression of BARD reduces the extent of WUS expression."
AT1G04030,,
AT1G04040,,
AT1G04043,,
AT1G04047,,
AT1G04050,SDG13|SUVR1,"Encodes SUVR1, one of the four closely related Arabidopsis SUVR proteins that belong to the SU(VAR)3-9 subgroup of SET-domain proteins.  Proteins containing the evolutionarily conserved SET domain are involved in regulation of eukaryotic gene expression and chromatin structure through their histone lysine methyltransferase (HMTase) activity.  SUVR1, SUVR2 and SUVR4 proteins contain a novel domain at their N-terminus, and a SUVR specific region preceding the SET domain.  Localized to the nucleolus, maybe involved in regulation of rRNA expression."
AT1G04053,,
AT1G04067,,
AT1G04070,ATTOM22-I|TOM22-I,"Subunit of the TOM complex, a translocase in the outer mitochondrial membrane that selectively allows proteins with a mitochondrial targeting sequence to enter the mitochondrion."
AT1G04077,,
AT1G04080,PRP39|PRP39a,
AT1G04090,,
AT1G04100,IAA10,"Auxin induced gene, IAA10 (IAA10)."
AT1G04105,,
AT1G04110,AtSDD1|SDD1,Initially identified as a mutation affecting stomatal development and distribution. Encodes a protein similar to serine proteases.
AT1G04117,,
AT1G04120,ABCC5|ATABCC5|ATMRP5|MRP5,encodes a high-affinity inositol hexakisphosphate transporter that plays a role in guard cell signaling and phytate storage. It is a member of MRP subfamily / ABC transporter subfamily C.
AT1G04130,AtTPR2|TPR2,
AT1G04140,,
AT1G04150,MCTP10,
AT1G04160,ATXIB|XI-8|XI-B|XIB,Encodes a member of the type XI myosin protein family involved in root hair elongation.
AT1G04163,,
AT1G04170,EIF2,protein synthesis initiation factor eIF2 gamma
AT1G04180,YUC9|YUCCA9,
AT1G04183,,
AT1G04190,TPR3,
AT1G04200,,
AT1G04210,,Encodes a putative Raf-related kinase.
AT1G04220,DAISY|KCS2,"Encodes KCS2, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
AT1G04230,,
AT1G04233,,
AT1G04240,IAA3|SHY2,"SHY2/IAA3 regulates multiple auxin responses in roots. It is induced rapidly by IAA, and has been shown to be phosphorylated by oat phytochrome A in vitro."
AT1G04247,,
AT1G04250,AtIAA17|AXR3|IAA17,"Transcription regulator acting as repressor of auxin-inducible gene expression. Auxin-inducible AUX/IAA gene. Short-lived nuclear protein with four conserved domains. Domain III has homology to beta alpha alpha dimerization and DNA binding domains. Involved in auxin signaling. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF, CSN and 26S proteasome components."
AT1G04260,MPI1|MPI7|MPIP1|MPIP7|PRA1.D,Encodes protein that interacts with CaMV movement protein.  Colocalizes in the cytoplasm with the movement protein.  Has similarity to mammalian proteins (such as the rat PRA1) which have been described as rab acceptors.
AT1G04270,RPS15|uS19u,Encodes cytosolic ribosomal protein S15.
AT1G04277,,
AT1G04280,NADKc,
AT1G04290,,
AT1G04295,,
AT1G04300,MUSE13|TRAF1b,
AT1G04310,ERS2,encodes an ethylene receptor related to bacterial two-component histidine kinases.
AT1G04313,,
AT1G04330,PH2,
AT1G04340,,
AT1G04343,,
AT1G04350,,encodes a protein whose sequence is similar to 2-oxoglutarate-dependent dioxygenase
AT1G04353,,
AT1G04357,,
AT1G04360,ATL1,
AT1G04370,ATERF14|ERF14|ERF97,"encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5."
AT1G04380,,encodes a protein similar to a 2-oxoglutarate-dependent dioxygenase
AT1G04390,,
AT1G04400,AT-PHH1|ATCRY2|CRY2|FHA|PHH1,"Blue light receptor mediating blue-light regulated cotyledon expansion and flowering time. Positive regulator of the flowering-time gene CONSTANS. This gene possesses a light-induced CNT2 N-terminal homodimerisation domain.Involved in blue-light induced stomatal opening. Involved in triggering chromatin decondensation. An 80-residue motif (NC80) is sufficient to confer CRY2's physiological function.  It is proposed that the PHR domain and the C-terminal tail of the unphosphorylated CRY2 form a closed conformation to suppress the NC80 motif in the absence of light. In response to blue light, the C-terminal tail of CRY2 is phosphorylated and electrostatically repelled from the surface of the PHR domain to form an open conformation, resulting in derepression of the NC80 motif and signal transduction to trigger photomorphogenic responses. Cry2 phosphorylation and degradation both occur in the nucleus."
AT1G04410,c-NAD-MDH1,
AT1G04420,,
AT1G04425,,
AT1G04427,,
AT1G04430,,
AT1G04433,,
AT1G04440,CKL13,
AT1G04445,,
AT1G04463,,
AT1G04470,,
AT1G04480,uL14x,
